```csv
event_id,timestamp,subject_type,subject_id,access_point_id,direction,method,result,denial_reason,source_system,access_level_required,subject_access_level,correlated_visit_id
EVT000001,2025-01-06T06:02:33+01:00,EMPLOYEE,EMP042,ENTRANCE_MAIN,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_01,Low,High,
EVT000002,2025-01-06T06:05:17+01:00,EMPLOYEE,EMP042,SECURITY_CONTROL_ROOM,IN,FINGERPRINT,GRANTED,,BIOMETRIC_READER_01,High,High,
EVT000003,2025-01-06T06:12:45+01:00,EMPLOYEE,EMP089,PARKING_GATE_1,IN,CARD,GRANTED,,PARKING_SYSTEM_01,Low,Medium,
EVT000004,2025-01-06T06:15:22+01:00,EMPLOYEE,EMP089,ENTRANCE_MAIN,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Medium,
EVT000005,2025-01-06T06:18:09+01:00,SERVICE_ACCOUNT,SYS-CLEANING,SERVICE_ENTRANCE,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_03,Low,Low,
EVT000006,2025-01-06T06:22:41+01:00,EMPLOYEE,EMP156,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_EAST,Low,High,
EVT000007,2025-01-06T06:25:33+01:00,EMPLOYEE,EMP156,ICT_FLOOR_5_DOOR01,IN,FINGERPRINT,GRANTED,,BIOMETRIC_READER_05,High,High,
EVT000008,2025-01-06T06:31:18+01:00,EMPLOYEE,EMP023,PARKING_GATE_2,IN,CARD,GRANTED,,PARKING_SYSTEM_02,Low,Restricted,
EVT000009,2025-01-06T06:33:45+01:00,EMPLOYEE,EMP023,ENTRANCE_MAIN,IN,FACE_ID,GRANTED,,BIOMETRIC_READER_02,Low,Restricted,
EVT000010,2025-01-06T06:35:22+01:00,EMPLOYEE,EMP023,EXECUTIVE_FLOOR_7,IN,FINGERPRINT,GRANTED,,BIOMETRIC_READER_07,Restricted,Restricted,
EVT000011,2025-01-06T06:42:17+01:00,SERVICE_ACCOUNT,SYS-CLEANING,FLOOR_2_SERVICE,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_02,Low,Low,
EVT000012,2025-01-06T06:48:55+01:00,EMPLOYEE,EMP078,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_WEST,Low,Medium,
EVT000013,2025-01-06T06:52:33+01:00,EMPLOYEE,EMP112,PARKING_GATE_1,IN,CARD,GRANTED,,PARKING_SYSTEM_01,Low,High,
