event_id,timestamp,subject_type,subject_id,access_point_id,direction,method,result,denial_reason,source_system,access_level_required,subject_access_level,correlated_visit_id
EVT000001,2025-01-06T06:45:12+01:00,EMPLOYEE,EMP099,PARKING_GATE_MAIN,IN,CARD,GRANTED,,PARKING_CTRL_01,Low,Restricted,
EVT000002,2025-01-06T06:50:05+01:00,EMPLOYEE,EMP099,ENTRANCE_REAR_STAFF,IN,FACE_ID,GRANTED,,TURNSTILE_REAR,Low,Restricted,
EVT000003,2025-01-06T07:15:33+01:00,SERVICE_ACCOUNT,SYS-CLEANING,LOBBY_SERVICE_ELEVATOR,IN,CARD,GRANTED,,ELEVATOR_CTRL_02,Low,Medium,
EVT000004,2025-01-06T07:30:01+01:00,EMPLOYEE,EMP012,ENTRANCE_MAIN,IN,FACE_ID,GRANTED,,TURNSTILE_EAST,Low,Medium,
EVT000005,2025-01-06T07:32:15+01:00,EMPLOYEE,EMP045,ENTRANCE_MAIN,IN,FACE_ID,GRANTED,,TURNSTILE_WEST,Low,High,
EVT000006,2025-01-06T07:35:48+01:00,EMPLOYEE,EMP023,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_EAST,Low,Low,
EVT000007,2025-01-06T07:40:22+01:00,EMPLOYEE,EMP004,EXECUTIVE_WING_LIFT,IN,FINGERPRINT,GRANTED,,LIFT_EXEC_01,High,High,
EVT000008,2025-01-06T08:05:10+01:00,VISITOR,VIS101,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_GUEST,Low,Low,VST-25-001
EVT000009,2025-01-06T08:05:15+01:00,VISITOR,VIS101,LOBBY_Turnstile_01,IN,CARD,DENIED,Invalid Credential,TURNSTILE_GUEST,Low,Low,VST-25-001
EVT000010,2025-01-06T08:05:25+01:00,VISITOR,VIS101,LOBBY_Turnstile_01,IN,CARD,GRANTED,,TURNSTILE_GUEST,Low,Low,VST-25-001
EVT000011,2025-01-06T08:12:44+01:00,EMPLOYEE,EMP056,ICT_FLOOR_5_DOOR01,IN,CARD,GRANTED,,DOOR_CTRL_FL5,Medium,Medium,
EVT000012,2025-01-06T08:45:00+01:00,EMPLOYEE,EMP023,ICT_SERVER_ROOM_MAIN,IN,FINGERPRINT,DENIED,Insufficient Clearance,BIO_READER_SRV,High,Low,
EVT000013,2025-01-06T08:45:05+01:00,EMPLOYEE,EMP023,ICT_SERVER_ROOM_MAIN,IN,PIN,DENIED,Insufficient Clearance,BIO_READER_SRV,High,Low,
EVT000014,2025-01-06T09:00:00+01:00,VISITOR,VIS102,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_GUEST,Low,Low,VST-25-004
EVT000015,2025-01-06T09:15:22+01:00,EMPLOYEE,EMP088,CONTROL_ROOM_DOOR,IN,FINGERPRINT,GRANTED,,SEC_PANEL_04,Restricted,Restricted,
EVT000016,2025-01-06T10:30:45+01:00,SERVICE_ACCOUNT,SYS-MAINTENANCE,HVAC_ROOF_ACCESS,IN,CARD,GRANTED,,ROOF_ACCESS_01,Medium,Medium,
EVT000017,2025-01-06T12:05:11+01:00,EMPLOYEE,EMP045,ENTRANCE_MAIN,OUT,FACE_ID,GRANTED,,TURNSTILE_WEST,Low,High,
EVT000018,2025-01-06T12:10:00+01:00,EMPLOYEE,EMP012,ENTRANCE_MAIN,OUT,FACE_ID,GRANTED,,TURNSTILE_EAST,Low,Medium,
EVT000019,2025-01-06T13:05:55+01:00,EMPLOYEE,EMP045,ENTRANCE_MAIN,IN,FACE_ID,GRANTED,,TURNSTILE_WEST,Low,High,
EVT000020,2025-01-06T14:22:18+01:00,VISITOR,VIS102,ICT_FLOOR_5_DOOR01,IN,CARD,DENIED,Insufficient Clearance,DOOR_CTRL_FL5,Medium,Low,VST-25-004
EVT000021,2025-01-06T16:55:30+01:00,EMPLOYEE,EMP023,ENTRANCE_MAIN,OUT,CARD,GRANTED,,TURNSTILE_EAST,Low,Low,
EVT000022,2025-01-06T17:05:00+01:00,VISITOR,VIS101,ENTRANCE_MAIN,OUT,CARD,GRANTED,,TURNSTILE_GUEST,Low,Low,VST-25-001
EVT000023,2025-01-06T19:45:12+01:00,EMPLOYEE,EMP099,CONTROL_ROOM_DOOR,OUT,FINGERPRINT,GRANTED,,SEC_PANEL_04,Restricted,Restricted,
EVT000024,2025-01-06T22:15:05+01:00,EMPLOYEE,EMP015,PARKING_GATE_1,IN,CARD,DENIED,Outside Allowed Hours,PARKING_CTRL_01,Low,Low,
