event_id,timestamp,subject_type,subject_id,access_point_id,direction,method,result,denial_reason,source_system,access_level_required,subject_access_level,correlated_visit_id
EVT00000001,2025-01-06T06:42:11+01:00,EMPLOYEE,EMP001,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_EAST,Low,High,
EVT00000002,2025-01-06T06:42:22+01:00,EMPLOYEE,EMP001,LOBBY_LIFTS,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_01,Low,High,
EVT00000003,2025-01-06T06:44:05+01:00,EMPLOYEE,EMP001,ICT_FLOOR_5_DOOR01,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_05,High,High,
EVT00000004,2025-01-06T06:45:57+01:00,EMPLOYEE,EMP002,ENTRANCE_MAIN,IN,FACE_ID,GRANTED,,TURNSTILE_WEST,Low,High,
EVT00000005,2025-01-06T06:46:13+01:00,EMPLOYEE,EMP002,CONTROL_ROOM_DOOR,IN,FINGERPRINT,DENIED,Insufficient Clearance,ACCESS_CTRL_PANEL_09,Restricted,High,
EVT00000006,2025-01-06T06:46:26+01:00,EMPLOYEE,EMP002,ICT_FLOOR_5_DOOR02,IN,FACE_ID,GRANTED,,ACCESS_CTRL_PANEL_05,High,High,
EVT00000007,2025-01-06T06:47:41+01:00,EMPLOYEE,EMP003,PARKING_GATE_1,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_02,Low,Medium,
EVT00000008,2025-01-06T06:48:03+01:00,EMPLOYEE,EMP003,ENTRANCE_PARKING_LOBBY,IN,CARD,GRANTED,,TURNSTILE_EAST,Low,Medium,
EVT00000009,2025-01-06T06:51:37+01:00,EMPLOYEE,EMP004,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_EAST,Low,Medium,
EVT00000010,2025-01-06T06:52:11+01:00,EMPLOYEE,EMP004,FLOOR_3_WEST_DOOR01,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_03,Medium,Medium,
EVT00000011,2025-01-06T06:55:24+01:00,EMPLOYEE,EMP005,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_WEST,Low,Medium,
EVT00000012,2025-01-06T06:56:02+01:00,EMPLOYEE,EMP005,FINANCE_FLOOR_4_DOOR01,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_04,Medium,Medium,
EVT00000013,2025-01-06T07:02:18+01:00,EMPLOYEE,EMP006,PARKING_GATE_2,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_02,Low,Low,
