event_id,timestamp,subject_type,subject_id,access_point_id,direction,method,result,denial_reason,source_system,access_level_required,subject_access_level,correlated_visit_id
EVT000001,2025-01-06T07:01:00+01:00,EMPLOYEE,EMP001,ENTRANCE_MAIN,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000002,2025-01-06T07:02:00+01:00,EMPLOYEE,EMP002,ENTRANCE_MAIN,IN,PIN,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000003,2025-01-06T07:03:00+01:00,VISITOR,VIS001,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_EAST,Low,Low,VIS001
EVT000004,2025-01-06T07:04:00+01:00,EMPLOYEE,EMP003,ENTRANCE_MAIN,IN,FINGERPRINT,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000005,2025-01-06T07:05:00+01:00,EMPLOYEE,EMP004,ENTRANCE_MAIN,IN,FACE_ID,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000006,2025-01-06T07:06:00+01:00,EMPLOYEE,EMP005,ENTRANCE_MAIN,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000007,2025-01-06T07:07:00+01:00,EMPLOYEE,EMP006,ENTRANCE_MAIN,IN,PIN,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000008,2025-01-06T07:08:00+01:00,EMPLOYEE,EMP007,ENTRANCE_MAIN,IN,FINGERPRINT,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000009,2025-01-06T07:09:00+01:00,EMPLOYEE,EMP008,ENTRANCE_MAIN,IN,FACE_ID,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000010,2025-01-06T07:10:00+01:00,EMPLOYEE,EMP009,ENTRANCE_MAIN,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000011,2025-01-06T07:11:00+01:00,EMPLOYEE,EMP010,ENTRANCE_MAIN,IN,PIN,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000012,2025-01-06T07:12:00+01:00,VISITOR,VIS002,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_EAST,Low,Low,VIS002
EVT000013,2025-01-06T07:13:00+01:00,EMPLOYEE,EMP011,ENTRANCE_MAIN,IN,FINGERPRINT,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000014,2025-01-06T07:14:00+01:00,EMPLOYEE,EMP012,ENTRANCE_MAIN,IN,FACE_ID,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000015,2025-01-06T07:15:00+01:00,EMPLOYEE,EMP013,ENTRANCE_MAIN,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000016,2025-01-06T07:16:00+01:00,EMPLOYEE,EMP014,ENTRANCE_MAIN,IN,PIN,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000017,2025-01-06T07:17:00+01:00,EMPLOYEE,EMP015,ENTRANCE_MAIN,IN,FINGERPRINT,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000018,2025-01-06T07:18:00+01:00,EMPLOYEE,EMP016,ENTRANCE_MAIN,IN,FACE_ID,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000019,2025-01-06T07:19:00+01:00,EMPLOYEE,EMP017,ENTRANCE_MAIN,IN,CARD,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000020,2025-01-06T07:20:00+01:00,EMPLOYEE,EMP018,ENTRANCE_MAIN,IN,PIN,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
EVT000021,2025-01-06T07:21:00+01:00,VISITOR,VIS003,ENTRANCE_MAIN,IN,CARD,GRANTED,,TURNSTILE_EAST,Low,Low,VIS003
EVT000022,2025-01-06T07:22:00+01:00,EMPLOYEE,EMP019,ENTRANCE_MAIN,IN,FINGERPRINT,GRANTED,,ACCESS_CTRL_PANEL_01,Low,Low,
